,Room,S06_2.02,S07_1.23,S07_2.17,S07_2.16,S07_2.18,S07_2.10
Before 8:30,Front Desk Open,,,,,,
8:30-10:30,Workshop Commences,,Systematic Quantitative Literature Review,Introductory HPC Carpentry,Introduction to Python – Software Carpentry,Introduction to R – Software Carpentry,Introduction to Machine learning
10:30-11:00,Morning tea – Sponsored by AWS,,,,,,
11:00-12:00,Workshop Continues,,Systematic Quantitative Literature Review,Introductory HPC Carpentry,Introduction to Python – Software Carpentry,Introduction to R – Software Carpentry,Introduction to Machine learning
12:00-1:30,Stalls and Lunch Commences in S06 2.02,,,,,,
1:00-2:00,Talks in S07 1.23 (next to foyer) ,,,,,,
2:00-4:00,Workshop Commences,Data cleaning with Open Refine ,,Introductory HPC Carpentry,Introduction to Python – Software Carpentry,Introduction to R – Software Carpentry,
4:00-4:30,Afternoon Tea Break,,,,,,
4:30-5:30,Workshop Continues,Data cleaning with Open Refine,,Introductory HPC Carpentry,Introduction to Python – Software Carpentry,Introduction to R – Software Carpentry,
5:30-Late,Social Dinner at Ship Inn,,,,,,
