,All Attendees ,CODE Stream,LEARN    Stream Electives,
8:30-9:00,Registration,,,
9:00-9:40,Key Story: Paul Bracewell,,,
9:45-10:45,,Programming with Python*,Designing Research Surveys,Learn LaTeX
10:45-11:00,Morning Tea,,,
11:00-12:00,,Programming with Python (cont)*,Research Data Management 101,Learn LaTeX
12:00-1:00,Lunch,,,
1:00-2:00,,Programming with Python (cont)*,Data Science for Novices,Long documents: LaTeX versus Word
2:00-3:00,,R: ggplot 2 and tidyverse for data science,,
3:00-3:30,Afternoon Tea,,,
3:30-5:00,Data Sprint Challenge,,,
5:00-5:30,Data Sprint presentations & closing reflections,,,
